,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,"""+/-""",Win,Winby,minutes,age_y
0,1,4,8,0.5,0,2,0,0,2,0,2,2,4,1,2,0,0,2,8,7.1,-17,0,-16,18.7,22.23835616
1,2,6,7,0.857,1,2,0.5,2,3,0.667,0,3,3,2,0,0,0,0,15,14.4,-18,1,2,28.4,22.24109589
2,3,7,13,0.538,2,6,0.333,4,4,1,1,5,6,2,1,0,2,3,20,15.1,2,0,-7,30.43333333,22.24657534
3,4,6,15,0.4,1,6,0.167,2,2,1,0,3,3,0,0,0,3,1,15,4.4,4,1,3,33.78333333,22.25479452
4,5,7,14,0.5,1,5,0.2,0,0,,2,8,10,1,0,0,4,2,15,7.7,3,0,-9,32,22.26027397
5,6,4,10,0.4,1,3,0.333,0,0,,1,2,3,3,1,0,0,1,9,7.6,-4,0,-15,22.26666667,22.2630137
6,7,6,8,0.75,4,4,1,0,0,,2,4,6,3,0,0,0,1,16,17.1,8,1,20,19.98333333,22.27123288
7,8,10,17,0.588,1,5,0.2,1,2,0.5,1,2,3,0,0,1,2,3,22,12.5,-11,0,-3,28.56666667,22.27671233
8,9,8,11,0.727,1,3,0.333,4,4,1,0,13,13,1,1,0,1,2,21,20.3,13,1,12,39,22.27945205
9,10,5,9,0.556,1,3,0.333,2,2,1,1,11,12,1,0,0,1,0,13,12.4,4,1,5,37.85,22.28493151
10,11,4,10,0.4,0,2,0,2,2,1,2,4,6,1,0,0,3,5,10,2.9,0,0,-11,34.13333333,22.29315068
11,12,4,14,0.286,0,2,0,5,6,0.833,5,4,9,1,0,0,5,3,13,3.6,-10,0,-16,34.98333333,22.29589041
12,13,8,17,0.471,1,4,0.25,4,5,0.8,3,8,11,1,1,1,2,3,21,15.6,0,0,-8,41.66666667,22.30136986
13,14,4,12,0.333,3,6,0.5,0,0,,0,6,6,2,0,0,1,0,11,6.4,-10,1,7,33.56666667,22.30684932
14,15,9,18,0.5,1,4,0.25,5,6,0.833,4,3,7,1,0,0,2,2,24,16.2,-4,0,-6,30.78333333,22.31232877
15,16,11,23,0.478,2,7,0.286,6,7,0.857,2,8,10,1,0,0,3,1,30,19,0,0,-9,38.45,22.31780822
16,17,7,11,0.636,3,4,0.75,0,2,0,1,2,3,3,1,0,3,2,17,11.9,1,1,18,25.66666667,22.32328767
17,18,7,15,0.467,4,7,0.571,4,7,0.571,1,2,3,5,0,0,2,4,22,14.3,9,1,9,39.91666667,22.32876712
18,19,7,17,0.412,3,7,0.429,0,0,,0,2,2,0,1,0,2,4,17,5.9,-15,0,-11,35.55,22.33150685
19,20,5,7,0.714,3,5,0.6,2,2,1,1,1,2,3,0,0,3,2,15,11.4,12,0,-5,19.6,22.34520548
20,21,5,13,0.385,1,4,0.25,2,2,1,2,8,10,2,0,0,3,3,13,6.9,-7,0,-15,26.9,22.35890411
21,22,8,16,0.5,3,7,0.429,3,5,0.6,3,9,12,0,1,1,2,1,22,17.3,-25,0,-23,27.61666667,22.36164384
22,23,1,7,0.143,1,3,0.333,0,0,,0,2,2,1,0,0,1,1,3,-1.6,2,1,3,18.9,22.37260274
23,24,6,11,0.545,0,3,0,0,0,,3,11,14,2,0,1,0,0,12,14.2,21,1,11,31.93333333,22.37808219
24,25,8,17,0.471,3,6,0.5,0,0,,3,3,6,1,0,2,0,4,19,13.8,1,0,-4,29.56666667,22.38630137
25,26,8,16,0.5,1,5,0.2,3,3,1,3,4,7,1,0,0,4,3,20,10.8,-8,0,-9,30.9,22.39178082
