,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,GmSc,"""+/-""",Win,Winby,minutes,age_y
0,1,12,20,0.6,0,2,0,1,3,0.333,2,4,9,4,0,2,3,25,24.7,-9,0,-14,42.8333333,18.83013699
1,2,8,17,0.471,1,5,0.2,4,7,0.571,2,10,8,1,0,7,1,21,14.7,-3,0,-9,40.35,18.83287671
2,3,6,14.8,0.407,1,2.3,0.444,2.3,3.5,0.643,1.3,4.5,5.9,1.1,1,3.5,1.9,15.3,10.7,0.8,0,-19,39.1666667,18.83835616
3,4,3,11.5,0.261,0,1.5,0,1.5,1.5,1,1,6.5,6.5,2,1.5,2,2,7.5,8.1,-12,0,-4,41.1,18.84931507
4,5,8,18,0.444,1,2,0.5,6,7,0.857,0,5,3,0,0,7,2,23,9,-7,0,-1,43.7333333,18.85479452
5,6,8,19,0.421,0,0,,1,4,0.25,5,3,9,1,1,2,1,17,15.7,14,1,13,44.5,18.85753425
6,7,7,12,0.583,3,3,1,0,0,,1,4,4,1,1,2,0,17,15.8,20,1,14,9.65,18.8630137
7,8,6,15,0.4,2,5,0.4,4,6,0.667,1,2,7,2,1,4,3,18,12.8,-4,0,-5,42.6666667,18.86849315
8,9,3,12,0.25,2,4,0.5,2,4,0.5,1,4,3,0,0,4,3,10,0.8,-1,0,-9,35.6,18.8739726
9,10,10,19,0.526,0,1,0,2,4,0.5,0,5,8,1,2,5,2,22,15.6,8,1,3,46.95,18.87671233
10,11,6,16,0.375,0,2,0,2,4,0.5,2,5,8,0,1,3,2,14,9.8,1,1,8,39.4166667,18.88493151
11,12,10,18,0.556,2,4,0.5,6,8,0.75,2,5,8,2,1,4,2,28,25,-5,0,-11,39.15,18.88767123
12,13,8,19,0.421,0,2,0,3,3,1,2,7,2,1,0,1,4,19,12.2,-5,0,-14,35.3,18.89315068
13,14,3,16,0.188,0,1,0,9,10,0.9,2,4,4,2,1,3,1,15,9.3,-6,0,-9,42.3,18.89589041
14,15,5,17,0.294,1,4,0.25,4,4,1,2,6,9,0,0,4,1,15,10.2,-13,0,-10,38.8,18.90684932
15,16,2,8,0.25,0,2,0,2,3,0.667,0,2,7,0,0,4,3,6,1.1,-10,0,-4,36.45,18.91232877
16,17,14,28,0.5,3,6,0.5,2,3,0.667,2,14,7,1,1,8,1,33,22.4,-10,0,-7,54.6833333,18.91506849
17,18,6,19,0.316,2,3,0.667,5,7,0.714,3,3,5,2,0,2,4,19,12.2,-12,0,-12,32.5166667,18.92328767
18,19,2,13,0.154,0,3,0,0,0,,4,2,8,2,0,5,2,4,0.9,3,0,-10,34.0833333,18.9260274
19,20,4,12,0.333,0,2,0,0,0,,1,5,5,2,1,3,2,8,5.8,-5,1,10,36.0666667,18.93424658
20,21,7,16,0.438,0,0,,4,4,1,0,5,3,1,0,2,2,18,11.4,-2,0,-7,37.05,18.94246575
21,22,8,21,0.381,1,3,0.333,6,8,0.75,1,2,9,1,1,4,3,23,14.8,9,1,9,42.7666667,18.94794521
22,23,10,20,0.5,1,5,0.2,16,18,0.889,1,2,4,0,0,2,2,37,27.5,-2,0,-7,45.4166667,18.95342466
23,24,10,16,0.625,0,3,0,7,8,0.875,1,3,6,3,3,6,1,27,23.9,-12,0,-10,43.6666667,18.95890411
24,25,7,19,0.368,2,4,0.5,1,2,0.5,0,1,3,0,0,2,2,17,5.7,-9,0,-4,36,18.96438356
25,26,14,24,0.583,5,7,0.714,3,3,1,1,3,5,4,0,4,1,36,29.5,9,1,7,41.6833333,18.96986301
26,27,11,22,0.5,0,5,0,10,12,0.833,1,5,10,2,2,4,2,32,28,9,1,8,41.7333333,18.97260274
27,28,7,22,0.318,1,6,0.167,7,8,0.875,2,4,2,6,1,5,1,22,14.3,9,1,11,39.1666667,18.98082192
28,29,13,28,0.464,4,10,0.4,4,5,0.8,1,1,6,2,1,8,0,34,19.1,-9,0,-12,47.1,18.98630137
29,30,7,24,0.292,1,4,0.25,3,4,0.75,1,2,4,1,2,5,0,18,5.1,-12,0,-7,34.3333333,18.9890411
30,31,15,23,0.652,0,2,0,2,2,1,3,7,9,3,0,5,1,32,30,11,1,12,39.0833333,18.99452055
31,32,9,20,0.45,0,4,0,4,6,0.667,2,8,4,0,0,4,2,22,12.6,-2,0,-3,38.1166667,19
32,33,6,19,0.316,0,4,0,2,4,0.5,1,3,9,1,0,3,2,14,7.4,-14,0,-15,36.0666667,19.00821918
33,34,6,17,0.353,0,2,0,2,2,1,0,4,10,1,1,4,1,14,10,10,1,11,41.4166667,19.01917808
34,35,10,23,0.435,0,3,0,1,2,0.5,0,2,5,0,0,2,3,21,9.4,-2,0,-6,38.2333333,19.02191781
35,36,7,19,0.368,0,3,0,5,7,0.714,0,3,6,3,0,5,1,19,10.4,-30,0,-25,42.2166667,19.02739726
36,37,6,20,0.3,0,3,0,4,5,0.8,1,4,7,1,1,6,3,16,5.3,3,0,-10,36.4333333,19.03561644
37,38,11,26,0.423,0,1,0,5,6,0.833,4,5,9,2,0,4,2,27,20.6,11,1,8,43.9,19.03835616
38,39,8,21,0.381,2,5,0.4,11,13,0.846,2,4,6,3,0,2,0,29,24.5,-14,0,-17,43.4166667,19.04383562
39,40,12,28,0.429,2,4,0.5,3,5,0.6,1,6,2,2,1,4,2,29,15.2,8,1,6,44.4166667,19.04931507
40,41,7,19,0.368,1,2,0.5,1,2,0.5,0,5,3,0,2,3,4,16,5.5,-10,1,1,29.9666667,19.0739726
41,42,10,25,0.4,0,1,0,7,10,0.7,0,5,4,2,1,1,1,27,17.9,2,1,1,44.4,19.07945205
42,43,7,25,0.28,1,6,0.167,5,8,0.625,2,6,3,1,0,5,5,20,3.4,3,0,-6,37.2833333,19.08493151
43,44,14,27,0.519,1,2,0.5,9,11,0.818,3,3,4,0,2,6,4,38,23.5,0,1,4,43.4,19.09041096
44,45,5,19,0.263,0,1,0,2,2,1,1,3,6,2,0,1,2,12,6.7,-1,1,3,38.1833333,19.09589041
45,46,12,26,0.462,4,4,1,4,5,0.8,0,4,4,0,0,0,0,32,22.2,-2,0,-5,43.0833333,19.09863014
46,47,6,18,0.333,1,3,0.333,1,4,0.25,1,8,5,0,0,3,2,14,5.4,-16,0,-11,44.5833333,19.10410959
47,48,6,16,0.375,0,0,,2,2,1,0,0,6,4,1,3,2,14,10.3,-24,0,-18,34.0666667,19.10684932
48,49,9,25,0.36,1,6,0.167,5,6,0.833,0,6,3,2,1,1,3,24,14.1,19,1,8,43.3,19.11232877
49,50,2,13,0.154,0,1,0,5,5,1,1,1,5,1,0,5,0,9,1.2,-12,0,-20,29.5333333,19.11780822
50,51,6,12,0.5,0,0,,4,4,1,2,2,9,0,1,5,2,16,13.2,-15,0,-16,33.65,19.1369863
51,52,14,23,0.609,0,0,,4,4,1,2,9,2,2,1,2,0,32,27.7,3,1,2,39.6166667,19.14246575
52,53,7,20,0.35,0,0,,8,12,0.667,1,4,3,1,0,1,2,22,12.4,11,1,6,43.7833333,19.14794521
53,54,7,16,0.438,1,5,0.2,6,6,1,0,4,6,2,5,1,3,21,21.3,4,1,4,36.6,19.15068493
54,55,5,18,0.278,0,2,0,1,3,0.333,2,5,5,2,1,2,1,11,6.3,-5,0,-6,38.6333333,19.15616438
55,56,11,19,0.579,1,1,1,7,8,0.875,1,10,3,3,1,5,1,30,24.8,7,1,5,49.2166667,19.16164384
56,57,7,17,0.412,0,2,0,4,6,0.667,0,3,3,4,1,3,2,18,12,-4,0,-11,40.8,19.16986301
57,58,9,17,0.529,1,2,0.5,5,6,0.833,1,6,3,1,1,1,0,24,20.6,22,1,32,27.6,19.17534247
58,59,7,17,0.412,2,2,1,3,4,0.75,2,4,4,2,0,4,5,19,10.9,1,1,3,37.7833333,19.18082192
59,60,11,24,0.458,0,3,0,2,3,0.667,2,5,10,4,1,2,3,24,22.6,9,1,9,42.7,19.18356164
60,61,11,23,0.478,1,4,0.25,11,13,0.846,2,4,7,1,0,2,1,34,27.6,11,1,6,45.1,19.1890411
61,62,4,13,0.308,0,0,,6,7,0.857,1,2,4,1,0,2,2,14,8.4,16,1,14,33.7666667,19.19452055
62,63,12,22,0.545,0,2,0,2,4,0.5,0,3,4,3,1,4,3,26,16.8,5,1,3,44.15,19.20547945
63,64,5,16,0.313,2,3,0.667,5,8,0.625,3,2,8,0,5,4,1,17,14,24,1,24,32.1333333,19.2109589
64,65,4,14,0.286,0,2,0,6,10,0.6,0,0,7,2,1,2,3,14,8.6,-2,0,-9,34.2666667,19.21917808
65,66,5,17,0.294,1,4,0.25,4,5,0.8,2,5,3,0,2,4,4,15,5.5,-21,0,-20,36.75,19.22465753
66,67,8,21,0.381,2,5,0.4,7,9,0.778,1,1,6,3,1,5,0,25,16.6,-12,0,-17,40.9666667,19.23013699
67,68,5,13,0.385,1,2,0.5,5,9,0.556,2,1,7,0,1,5,1,16,9.2,-24,0,-15,32.7666667,19.23835616
68,69,15,29,0.517,1,2,0.5,10,10,1,2,4,13,3,0,2,1,41,39,10,1,3,43.8,19.24109589
69,70,9,20,0.45,0,1,0,0,0,,0,2,4,0,1,2,0,18,9.7,-14,0,-8,31.6666667,19.24657534
70,71,13,22,0.591,0,2,0,2,4,0.5,1,4,6,4,0,3,2,28,23.3,-10,0,-17,42.0833333,19.24931507
71,72,9,19,0.474,0,0,,2,2,1,0,7,7,5,0,5,3,20,16.1,-13,0,-18,36.6333333,19.25753425
72,73,12,28,0.429,3,5,0.6,7,11,0.636,3,5,10,1,1,3,1,34,26.5,-3,0,-3,46.25,19.26027397
73,74,5,17,0.294,0,0,,11,14,0.786,1,5,4,3,0,3,2,21,14.1,2,0,-1,46,19.26849315
74,75,4,11,0.364,0,0,,6,7,0.857,0,3,5,3,0,2,4,14,11.3,-11,0,-18,36.5833333,19.27123288
75,76,6,14,0.429,1,1,1,11,15,0.733,1,6,8,1,0,8,2,24,15.3,-16,0,-15,42.2166667,19.27671233
76,77,4,11,0.364,0,2,0,2,5,0.4,1,2,11,0,0,2,3,10,8.5,14,0,-11,31.6333333,19.27945205
77,78,9,20,0.45,1,4,0.25,8,11,0.727,1,6,9,2,0,1,1,27,24.8,11,1,4,45.3,19.28493151
78,79,8,17,0.471,0,3,0,1,1,1,0,1,5,3,0,5,1,17,9.7,-6,1,10,35.0833333,19.29041096
79,80,8,19,0.421,2,5,0.4,10,12,0.833,1,4,8,1,3,6,2,28,20.9,-10,0,-5,50.9333333,19.84657534
80,81,9,22,0.409,2,3,0.667,1,1,1,3,3,8,1,0,1,0,21,17.8,-8,0,-6,42.3333333,19.84931507
81,82,8,20,0.4,0,3,0,15,22,0.682,2,6,6,3,0,4,0,31,23.8,-12,0,-14,41.8833333,19.85479452
82,83,8,17,0.471,1,4,0.25,8,12,0.667,1,9,4,4,2,3,2,25,22.5,14,1,14,48,19.8630137
