,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,"""+/-""",Win,Winby,Minutes,age_y
0,1,5,16,0.313,0,5,0,0,2,0,2,6,8,4,0,0,4,3,10,0.8,-18,0,-21,31.78333333,19.63287671
1,2,8,16,0.5,4,9,0.444,6,9,0.667,1,5,6,3,2,1,6,3,26,16.6,6,1,4,36.23333333,19.64109589
2,3,7,14,0.5,3,8,0.375,2,2,1,0,3,3,6,1,0,3,3,19,13.9,5,1,6,35.8,19.64657534
3,4,7,18,0.389,2,9,0.222,5,8,0.625,0,9,9,2,1,1,3,2,21,12,-12,0,-7,34.18333333,19.65205479
4,5,7,14,0.5,4,6,0.667,4,4,1,1,4,5,4,0,0,3,1,22,16.3,0,0,-9,35.15,19.65753425
5,6,5,13,0.385,2,6,0.333,2,2,1,1,5,6,5,1,0,5,1,14,8.2,4,0,-9,36.88333333,19.6630137
6,7,11,18,0.611,4,6,0.667,5,6,0.833,2,6,8,4,1,1,6,0,31,24.1,5,0,-5,39.91666667,19.66575342
7,8,5,11,0.455,3,6,0.5,1,2,0.5,1,4,5,7,1,0,2,2,14,12.9,-13,0,-1,28.13333333,19.67123288
8,9,8,15,0.533,2,6,0.333,0,1,0,2,7,9,6,1,0,4,3,18,13.8,-10,0,-12,34.96666667,19.67671233
9,10,9,16,0.563,2,7,0.286,3,3,1,1,6,7,3,1,0,5,2,23,15.2,11,1,19,33.26666667,19.68767123
10,11,7,14,0.5,3,4,0.75,7,7,1,1,5,6,2,0,0,5,3,24,14.4,-15,0,-15,35.2,19.69041096
11,12,9,15,0.6,1,4,0.25,3,4,0.75,0,6,6,8,1,0,4,4,22,17.5,16,1,15,31.36666667,19.69863014
12,13,3,12,0.25,2,7,0.286,3,4,0.75,2,4,6,3,1,0,3,1,11,5.7,-13,1,5,31.78333333,19.70410959
13,14,5,13,0.385,2,4,0.5,1,2,0.5,1,5,6,2,2,1,3,1,13,8.4,17,1,50,25.15,19.70958904
14,15,9,20,0.45,2,8,0.25,4,4,1,1,8,9,4,0,0,3,3,24,15.3,18,1,3,35.78333333,19.71780822
15,16,6,20,0.3,3,9,0.333,0,0,,1,9,10,3,0,1,3,2,15,5.8,3,0,-10,36.53333333,19.72328767
16,17,5,11,0.455,2,3,0.667,9,11,0.818,2,7,9,4,2,0,3,4,21,18.2,1,1,6,33.86666667,19.72876712
17,18,5,11,0.455,3,4,0.75,2,2,1,0,0,0,8,3,1,3,0,15,15.6,8,1,9,30.86666667,19.7369863
18,19,6,11,0.545,3,7,0.429,5,5,1,2,4,6,2,1,0,4,2,20,14.9,-6,1,20,24.28333333,19.74794521
19,20,2,13,0.154,0,5,0,2,3,0.667,0,6,6,5,3,2,3,3,6,2.8,-8,0,-11,31.71666667,19.75342466
20,21,6,14,0.429,2,4,0.5,7,9,0.778,2,7,9,3,0,0,2,3,21,15.2,4,1,9,31.71666667,19.76438356
21,22,2,8,0.25,1,4,0.25,3,4,0.75,0,4,4,6,0,0,2,1,8,5.8,-8,0,-26,22,19.76712329
22,23,7,17,0.412,3,7,0.429,4,5,0.8,3,4,7,1,3,0,3,3,21,14.3,8,1,3,32,19.77534247
23,24,2,11,0.182,0,5,0,3,3,1,1,10,11,9,1,0,2,1,7,8.7,16,1,25,25.6,19.78082192
24,25,5,14,0.357,2,6,0.333,12,15,0.8,1,9,10,6,1,1,4,2,24,19.5,4,1,7,34.76666667,19.78630137
